"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1902600","proton transmembrane transport","10/112","175/21261",3.02683363356529e-08,6.18684794700746e-05,5.66177196510055e-05,"ATP1A1/NDUFA4/GHITM/SLC17A6/ATP5MC2/ATP5F1B/ATP5F1D/SLC32A1/ATP6V1E1/ATP6AP2",10
"GO:0099003","vesicle-mediated transport in synapse","10/112","241/21261",5.98295202714892e-07,0.000611457697174619,0.000559563460644402,"SYT2/PREPL/NSG1/ACTB/SH3GL2/SLC17A6/RAB3A/SLC32A1/ATP6V1E1/ATP6AP2",10
"GO:0099504","synaptic vesicle cycle","9/112","216/21261",2.16930561592459e-06,0.00147802022631662,0.00135258108052561,"SYT2/PREPL/ACTB/SH3GL2/SLC17A6/RAB3A/SLC32A1/ATP6V1E1/ATP6AP2",9
"GO:0021762","substantia nigra development","5/112","49/21261",5.87769435238593e-06,0.00300350181406921,0.00274859549057626,"BASP1/ACTB/HSPA5/INA/CKB",5
"GO:0048857","neural nucleus development","5/112","73/21261",4.18745612655628e-05,0.0171183206453621,0.0156654937618748,"BASP1/ACTB/HSPA5/INA/CKB",5
"GO:0061684","chaperone-mediated autophagy","3/112","15/21261",6.18300437727129e-05,0.0210634349119042,0.0192757873305458,"HSPA8/HSP90AA1/GFAP",3
"GO:0006006","glucose metabolic process","7/112","211/21261",0.000128859673901933,0.0365508612263207,0.0334488002879658,"MDH1/HK3/GOT1/GAPDH/GNB3/ALDOC/PGK1",7
"GO:0046165","alcohol biosynthetic process","6/112","151/21261",0.000149653974134351,0.0365508612263207,0.0334488002879658,"ITPKB/MSMO1/HMGCS1/FDFT1/GOT1/SOD1",6
"GO:0009060","aerobic respiration","7/112","222/21261",0.000176298659466643,0.0365508612263207,0.0334488002879658,"MDH1/NDUFB4/NDUFA4/UQCRB/GHITM/ATP5F1B/ATP5F1D",7
"GO:0030901","midbrain development","5/112","101/21261",0.000196463253333679,0.0365508612263207,0.0334488002879658,"BASP1/ACTB/HSPA5/INA/CKB",5
"GO:0007286","spermatid development","7/112","226/21261",0.000196702286443018,0.0365508612263207,0.0334488002879658,"KIT/GARIN1A/VDAC3/CATSPER2/PYGO1/IQCN/RSPH1",7
"GO:0048515","spermatid differentiation","7/112","234/21261",0.000243238722060838,0.0409858116867621,0.0375073577955383,"KIT/GARIN1A/VDAC3/CATSPER2/PYGO1/IQCN/RSPH1",7
"GO:0006066","alcohol metabolic process","9/112","404/21261",0.000289697726997682,0.0409858116867621,0.0375073577955383,"PLA2G4A/ITPKB/MSMO1/HMGCS1/FDFT1/ALDH1A1/GOT1/GNB3/SOD1",9
"GO:0006119","oxidative phosphorylation","6/112","171/21261",0.000293411978456644,0.0409858116867621,0.0375073577955383,"NDUFB4/NDUFA4/UQCRB/GHITM/ATP5F1B/ATP5F1D",6
"GO:0010623","programmed cell death involved in cell development","3/112","25/21261",0.000300776504550602,0.0409858116867621,0.0375073577955383,"KIT/TMEM215/SOD1",3
"GO:0019318","hexose metabolic process","7/112","252/21261",0.000380693918849857,0.0438035851576289,0.0400859876532632,"MDH1/HK3/GOT1/GAPDH/GNB3/ALDOC/PGK1",7
"GO:0006695","cholesterol biosynthetic process","4/112","65/21261",0.000385745857552505,0.0438035851576289,0.0400859876532632,"MSMO1/HMGCS1/FDFT1/SOD1",4
"GO:1902653","secondary alcohol biosynthetic process","4/112","65/21261",0.000385745857552505,0.0438035851576289,0.0400859876532632,"MSMO1/HMGCS1/FDFT1/SOD1",4
"GO:0009205","purine ribonucleoside triphosphate metabolic process","6/112","187/21261",0.000472499487168812,0.0494871615969798,0.0452872006168674,"RHOQ/NDUFB4/HSPA8/ATP5MC2/ATP5F1B/ATP5F1D",6
"GO:0019693","ribose phosphate metabolic process","9/112","440/21261",0.000537935569004527,0.0494871615969798,0.0452872006168674,"RHOQ/NDUFB4/DCK/HMGCS1/HSPA8/ATP5MC2/ATP5F1B/ATP5F1D/PRPS2",9
"GO:0009144","purine nucleoside triphosphate metabolic process","6/112","193/21261",0.000558153778816261,0.0494871615969798,0.0452872006168674,"RHOQ/NDUFB4/HSPA8/ATP5MC2/ATP5F1B/ATP5F1D",6
"GO:0016126","sterol biosynthetic process","4/112","72/21261",0.00056982372692523,0.0494871615969798,0.0452872006168674,"MSMO1/HMGCS1/FDFT1/SOD1",4
"GO:0009199","ribonucleoside triphosphate metabolic process","6/112","194/21261",0.000573531362443309,0.0494871615969798,0.0452872006168674,"RHOQ/NDUFB4/HSPA8/ATP5MC2/ATP5F1B/ATP5F1D",6
"GO:0045333","cellular respiration","7/112","272/21261",0.000600035154067551,0.0494871615969798,0.0452872006168674,"MDH1/NDUFB4/NDUFA4/UQCRB/GHITM/ATP5F1B/ATP5F1D",7
"GO:1990138","neuron projection extension","6/112","196/21261",0.00060527350289848,0.0494871615969798,0.0452872006168674,"SYT2/SH3GL2/RASAL1/HSP90AA1/NDN/SEMA7A",6
